"Date","Company","Close","MA7","MA30","Tariff_Period"
2025-06-18,"GSMI",295,294.057142857143,292.84011,"After"
2025-06-18,"MONDE",7.09,7.12428571428571,7.224,"After"
2025-06-19,"JFC",227.6,228.142857142857,234.206666666667,"After"
2025-06-19,"URC",86,85.1,86.9866666666667,"After"
2025-06-19,"CNPF",40.1,39.8428571428571,40.0366666666667,"After"
2025-06-19,"GSMI",294.6,294.028571428571,293.042646666667,"After"
2025-06-19,"MONDE",7.1,7.12428571428571,7.206,"After"
2025-06-20,"JFC",227,228.285714285714,234.14,"After"
2025-06-20,"URC",86.2,85.1285714285714,86.9866666666667,"After"
2025-06-20,"CNPF",40.25,39.9428571428571,40.0783333333333,"After"
2025-06-20,"GSMI",285.8,292.771428571429,292.95185,"After"
2025-06-20,"MONDE",7.24,7.13142857142857,7.192,"After"
2025-06-23,"JFC",220,226.314285714286,233.64,"After"
2025-06-23,"URC",82,84.9642857142857,86.8233333333333,"After"
2025-06-23,"CNPF",39.3,39.85,40.0716666666667,"After"
2025-06-23,"GSMI",295,292.771428571429,293.200883333333,"After"
2025-06-23,"MONDE",7.11,7.12714285714286,7.161,"After"
2025-06-24,"JFC",226,226.285714285714,233.46,"After"
2025-06-24,"URC",88.2,85.7571428571429,86.9166666666667,"After"
2025-06-24,"CNPF",41,40.0642857142857,40.105,"After"
2025-06-24,"GSMI",294,292.971428571429,293.230866666667,"After"
2025-06-24,"MONDE",7.25,7.13428571428571,7.13933333333333,"After"
2025-06-25,"JFC",222,225.685714285714,233.026666666667,"After"
2025-06-25,"URC",90,86.5357142857143,86.8666666666667,"After"
2025-06-25,"CNPF",40.65,40.2285714285714,40.1266666666667,"After"
2025-06-25,"GSMI",290,292.685714285714,293.120883333333,"After"
2025-06-25,"MONDE",7.36,7.17857142857143,7.114,"After"
2025-06-26,"JFC",223.2,224.657142857143,232.7,"After"
2025-06-26,"URC",87.8,86.7214285714286,86.6933333333333,"After"
2025-06-26,"CNPF",39.9,40.1857142857143,40.0566666666667,"After"
2025-06-26,"GSMI",290,292.057142857143,293.10376,"After"
2025-06-26,"MONDE",7.21,7.19428571428571,7.091,"After"
